colour	y	x	key	tooltip	clickSelects	showSelected1	showSelected2	fill
#00BFFF	2	-1.48014757986151	rpart1	rpart fold 1 MSE=0.033	1	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.47728531312482	rpart1	rpart fold 1 MSE=0.033	1	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.50507772362145	rpart1	rpart fold 1 MSE=0.031	1	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.51524453046571	rpart1	rpart fold 1 MSE=0.031	1	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.81996066603195	rpart1	rpart fold 1 MSE=0.015	1	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.81098449096798	rpart1	rpart fold 1 MSE=0.015	1	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.89326310802195	rpart1	rpart fold 1 MSE=0.013	1	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.87213318560602	rpart1	rpart fold 1 MSE=0.013	1	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.88891805113974	rpart1	rpart fold 1 MSE=0.013	1	rpart	sin easy 1000	#00BFFF
#00BFFF	2	-1.46727219018635	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.47543812446385	rpart2	rpart fold 2 MSE=0.033	2	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.46560867214622	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.65071198344597	rpart2	rpart fold 2 MSE=0.022	2	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.77071636849492	rpart2	rpart fold 2 MSE=0.017	2	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.83663082359157	rpart2	rpart fold 2 MSE=0.015	2	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.86943331202651	rpart2	rpart fold 2 MSE=0.014	2	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.90065703198145	rpart2	rpart fold 2 MSE=0.013	2	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.95213828646254	rpart2	rpart fold 2 MSE=0.011	2	rpart	sin easy 1000	#00BFFF
#00BFFF	2	-1.45505329116047	rpart3	rpart fold 3 MSE=0.035	3	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.44887568693082	rpart3	rpart fold 3 MSE=0.036	3	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.46920311216876	rpart3	rpart fold 3 MSE=0.034	3	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.58739384797788	rpart3	rpart fold 3 MSE=0.026	3	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.72473861168306	rpart3	rpart fold 3 MSE=0.019	3	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.86199133289736	rpart3	rpart fold 3 MSE=0.014	3	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.95445372366816	rpart3	rpart fold 3 MSE=0.011	3	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.95003837838947	rpart3	rpart fold 3 MSE=0.011	3	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.9120974651553	rpart3	rpart fold 3 MSE=0.012	3	rpart	sin easy 1000	#00BFFF
#00BFFF	2	-1.40229900944326	rpart4	rpart fold 4 MSE=0.040	4	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.40653063222211	rpart4	rpart fold 4 MSE=0.039	4	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.38413319931913	rpart4	rpart fold 4 MSE=0.041	4	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.60477205636141	rpart4	rpart fold 4 MSE=0.025	4	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.75026230710574	rpart4	rpart fold 4 MSE=0.018	4	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.88307737066536	rpart4	rpart fold 4 MSE=0.013	4	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.92599420480589	rpart4	rpart fold 4 MSE=0.012	4	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.91886444164138	rpart4	rpart fold 4 MSE=0.012	4	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.94692726865416	rpart4	rpart fold 4 MSE=0.011	4	rpart	sin easy 1000	#00BFFF
#00BFFF	2	-1.41999844576097	rpart5	rpart fold 5 MSE=0.038	5	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.41784447652256	rpart5	rpart fold 5 MSE=0.038	5	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.44849276629219	rpart5	rpart fold 5 MSE=0.036	5	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.66178906704296	rpart5	rpart fold 5 MSE=0.022	5	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.80840167177969	rpart5	rpart fold 5 MSE=0.016	5	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.82171564613611	rpart5	rpart fold 5 MSE=0.015	5	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.88286307260347	rpart5	rpart fold 5 MSE=0.013	5	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.89055544540567	rpart5	rpart fold 5 MSE=0.013	5	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.93086193336242	rpart5	rpart fold 5 MSE=0.012	5	rpart	sin easy 1000	#00BFFF
#00BFFF	2	-1.41785202220618	rpart6	rpart fold 6 MSE=0.038	6	rpart	sin easy 10	#00BFFF
#00BFFF	2	-1.41588884350334	rpart6	rpart fold 6 MSE=0.038	6	rpart	sin easy 18	#00BFFF
#00BFFF	2	-1.44487987414357	rpart6	rpart fold 6 MSE=0.036	6	rpart	sin easy 32	#00BFFF
#00BFFF	2	-1.64048077396134	rpart6	rpart fold 6 MSE=0.023	6	rpart	sin easy 56	#00BFFF
#00BFFF	2	-1.77995215744448	rpart6	rpart fold 6 MSE=0.017	6	rpart	sin easy 100	#00BFFF
#00BFFF	2	-1.82067129588387	rpart6	rpart fold 6 MSE=0.015	6	rpart	sin easy 178	#00BFFF
#00BFFF	2	-1.84890945453213	rpart6	rpart fold 6 MSE=0.014	6	rpart	sin easy 316	#00BFFF
#00BFFF	2	-1.83248661694295	rpart6	rpart fold 6 MSE=0.015	6	rpart	sin easy 562	#00BFFF
#00BFFF	2	-1.86690793925453	rpart6	rpart fold 6 MSE=0.014	6	rpart	sin easy 1000	#00BFFF
#FF0000	1	-1.48014757986151	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 10	#FF0000
#FF0000	1	-1.47728531312482	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 18	#FF0000
#FF0000	1	-1.47993324890904	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 32	#FF0000
#FF0000	1	-1.48016881722218	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 56	#FF0000
#FF0000	1	-1.48009453587868	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 100	#FF0000
#FF0000	1	-1.48015313034965	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 178	#FF0000
#FF0000	1	-1.47888303678238	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 316	#FF0000
#FF0000	1	-1.4785230741866	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 562	#FF0000
#FF0000	1	-1.47789005896408	featureless1	featureless fold 1 MSE=0.033	1	featureless	sin easy 1000	#FF0000
#FF0000	1	-1.46727219018635	featureless2	featureless fold 2 MSE=0.034	2	featureless	sin easy 10	#FF0000
#FF0000	1	-1.47543812446385	featureless2	featureless fold 2 MSE=0.033	2	featureless	sin easy 18	#FF0000
#FF0000	1	-1.47526190935152	featureless2	featureless fold 2 MSE=0.033	2	featureless	sin easy 32	#FF0000
#FF0000	1	-1.47516248237686	featureless2	featureless fold 2 MSE=0.033	2	featureless	sin easy 56	#FF0000
#FF0000	1	-1.47429705970243	featureless2	featureless fold 2 MSE=0.034	2	featureless	sin easy 100	#FF0000
#FF0000	1	-1.47545380552198	featureless2	featureless fold 2 MSE=0.033	2	featureless	sin easy 178	#FF0000
#FF0000	1	-1.47488363186747	featureless2	featureless fold 2 MSE=0.034	2	featureless	sin easy 316	#FF0000
#FF0000	1	-1.47447153127287	featureless2	featureless fold 2 MSE=0.034	2	featureless	sin easy 562	#FF0000
#FF0000	1	-1.47421364090755	featureless2	featureless fold 2 MSE=0.034	2	featureless	sin easy 1000	#FF0000
#FF0000	1	-1.45505329116047	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 10	#FF0000
#FF0000	1	-1.44887568693082	featureless3	featureless fold 3 MSE=0.036	3	featureless	sin easy 18	#FF0000
#FF0000	1	-1.45512838129056	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 32	#FF0000
#FF0000	1	-1.45086309315197	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 56	#FF0000
#FF0000	1	-1.45241332733433	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 100	#FF0000
#FF0000	1	-1.45533949548067	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 178	#FF0000
#FF0000	1	-1.45447517100306	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 316	#FF0000
#FF0000	1	-1.45508429585729	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 562	#FF0000
#FF0000	1	-1.45512541258256	featureless3	featureless fold 3 MSE=0.035	3	featureless	sin easy 1000	#FF0000
#FF0000	1	-1.40229900944326	featureless4	featureless fold 4 MSE=0.040	4	featureless	sin easy 10	#FF0000
#FF0000	1	-1.40653063222211	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 18	#FF0000
#FF0000	1	-1.41220760899948	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 32	#FF0000
#FF0000	1	-1.40580555774614	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 56	#FF0000
#FF0000	1	-1.40959956675498	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 100	#FF0000
#FF0000	1	-1.41220493972953	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 178	#FF0000
#FF0000	1	-1.41164728310445	featureless4	featureless fold 4 MSE=0.039	4	featureless	sin easy 316	#FF0000
